~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~    ################################################    ################################################    #~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~^^^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~    ~~##b............############...........###..#~~    ~~~~~~~~~~~..***********...***...###...~~~~~~~~~    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~^^^^^^^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#    ####.####...####...########...#####...#####..###    #~~~~~~~~*****.....****...*...*...##....~~~~~~~~    ~~,,,,,,,~################################~~~~~~
~~~^^,+,,^^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~    ~~~~~~~~~~.I.~~~~~~~~~~~~~~~~~~~~~...~~~~~~~~~~#    ####.##.##########..#####...#########.#####.####    #~~~~~~~~****.....*....**.....*...#....~~~~~~~~~    ~,,,,,,,,~#.......#......................#~~~~~~
~~~^,,,,,^^^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~    ~~~~~~~~~~...~~~~~~~~~~~~~~~~~~~~~...~~~~~~~~~~#    ##......###########.......#######...........####    #~~~~~~~~~*~~~~~.*.......***....*.....~~~~~~~~~~    ~,,,,,,,,~:.......#.............X........#~~~~~~
~~~^^^^^^^^^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~    ~~~~~~~~~~...~~~~~~~~~~~~~~~~~~~~~...~~~~~~~~~~#    ##.################R.##############.############    #~~~~~~~~~~~~~~~~~~............**...............    ..,,,,,,,~#.......1......................:~~~~~~
~~~^^^$^^^^~~~~~~~~^^^^^~~~~~~~~~~~~~~~^^~~~~~~~    ~~~~~~~~~~...~~~~~~~~~~~~~~~~~~~~~...~~~~~~~~~~#    ##........#########################..###########    ##.................................*............    .,,,,,,,,~#......,#.....................,#~~~~~~
~~~~^^^^^~~~~~^^^^^^^^^^^~~~^^^^~~~~^^^^^~~~~~~~    ~~~~~~~~~~...~~~~~~~~~~~~~~~~~~~~~...~~~~~~~~~~#    #########...################..######.##.......##    ###......*.......****..........*****......***..#    #,,,,,,,,~#########.......################~~~~~~
~~~~~~~~~~~~^^^,,,,,,,,,^^^^^^^^^^^^^^^^^^^^^^..    ...............................................#    ###########......###...........##.......#####..#    ##......**......****............************...#    #,,,,,,,,~#.............................,#~~~~~~
~~~~~~~~~~~^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,....    ................................................    ............####.....#########....############..    .........*........*.......*....*****..*****....#    #,,,,,,,,~#.......#......................:~~~~~~
~~~~~~~~~^^,,,,,,,,,,,,,,,,,,,,,,,,,............    ................................................    ............###################.................    ....*******.**..........**...........*******...#    #,,,,,,,,~#.......#......................:~~~~~~
~~~~~~~~^^,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,.....    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#    ##########...##......................###########    #...*****.***...........*.*......***..******...#    #^,,,,,,,~#.......#,....................,#~~~~~~
~~~~~~~^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#    ###########..#######...........#################    #...******.......*.**..........***.............#    #^^,,,,,,~#.##############################~~~~~~
~~~~~~~^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#    ############...................#################    #..**#..***.....**#**********............*.*.###    #^^^^,,,,~~.~~~~~~~~~~~~~~~~~~~~~~~~~~~~~#~~~~~~
~~~~~~~~^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#    ###################...........##################    ##.*.##..**...***.##..************......***.####    #^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^~~~~~~
